"team_id","location","nickname","tname","tname2","division","stad","surf"
"1","Arizona","Cardinals","ARI",,"NFC West","State Farm Stadium","Grass"
"2","Atlanta","Falcons","ATL",,"NFC South","Mercedes-Benz Stadium","FieldTurf"
"3","Baltimore","Ravens","BAL",,"AFC North","M&T Bank Stadium","Grass"
"4","Buffalo","Bills","BUF",,"AFC East","New Era Field","A Turf Titan"
"5","Carolina","Panthers","CAR",,"NFC South","Bank of America Stadium","Grass"
"6","Chicago","Bears","CHI",,"NFC North","Soldier Field","Grass"
"7","Cincinnati","Bengals","CIN",,"AFC North","Paul Brown Stadium","UBU Speed Series S5M"
"8","Cleveland","Browns","CLE",,"AFC North","FirstEnergy Stadium","Grass"
"9","Dallas","Cowboys","DAL",,"NFC East","AT&T Stadium","Hellas Matrix Turf"
"10","Denver","Broncos","DEN",,"AFC West","Empower Field at Mile High","Grass"
"11","Detroit","Lions","DET",,"NFC North","Ford Field","FieldTurf"
"12","Green Bay","Packers","GB",,"NFC North","Lambeau Field","DD GrassMaster"
"13","Houston","Texans","HOU",,"AFC South","NRG Stadium","Hellas Matrix Turf"
"14","Indianapolis","Colts","IND",,"AFC South","Lucas Oil Stadium","Shaw Sports Momentum Pro"
"15","Jacksonville","Jaguars","JAC",,"AFC South","TIAA Bank Field","Grass"
"16","Kansas City","Chiefs","KC",,"AFC West","Arrowhead Stadium","Grass"
"17","Miami","Dolphins","MIA",,"AFC East","Hard Rock Stadium","Grass"
"18","Minnesota","Vikings","MIN",,"NFC North","U.S. Bank Stadium","UBU Speed Series S5M"
"19","New England","Patriots","NE",,"AFC East","Gillette Stadium","FieldTurf"
"20","New Orleans","Saints","NO",,"NFC South","Mercedes-Benz Superdome","FieldTurf"
"21","New York Giants","Giants","NYG",,"NFC East","MetLife Stadium","UBU Speed Series S5M"
"22","New York Jets","Jets","NYJ",,"AFC East","MetLife Stadium","UBU Speed Series S5M"
"23","Las Vegas","Raiders","LV","OAK","AFC West","Allegiant Stadium","Grass"
"24","Philadelphia","Eagles","PHI",,"NFC East","Lincoln Financial Field","DD GrassMaster"
"25","Pittsburgh","Steelers","PIT",,"AFC North","Heinz Field","Grass"
"26","Los Angeles","Chargers","LAC","SD","AFC West","SoFi Stadium","FieldTurf"
"27","San Francisco","49ers","SF",,"NFC West","Levi's Stadium","Grass"
"28","Seattle","Seahawks","SEA",,"NFC West","CenturyLink Field","FieldTurf"
"29","Los Angeles","Rams","LA","STL","NFC West","SoFi Stadium","FieldTurf"
"30","Tampa Bay","Buccaneers","TB",,"NFC South","Raymond James Stadium","Grass"
"31","Tennessee","Titans","TEN",,"AFC South","Nissan Stadium","Grass"
"32","Washington","Redskins","WAS",,"NFC East","FedEx Field","Grass"
